tmdb_id,genre_id
1581,10749
10865,16
10865,10751
10865,12
10865,878
140823,35
140823,18
140823,36
4964,35
4964,10749
4964,18
2109,28
2109,35
2109,80
2109,53
4327,28
4327,12
4327,35
4327,80
4327,53
1579,28
1579,12
1579,18
1579,53
4944,35
4944,18
22947,18
22947,10749
15,9648
15,18
395,12
395,878
395,28
10340,10751
10340,16
5503,12
5503,28
5503,53
5503,80
5503,9648
792,18
792,10752
792,28
87093,18
9659,12
9659,28
9659,53
9659,878
167073,18
167073,10749
193893,35
34851,28
34851,878
34851,12
34851,53
583,35
1562,27
1562,53
1562,878
259694,35
259694,10749
86838,35
86838,80
19959,28
19959,878
19959,53
296099,35
433,35
433,10751
433,14
2270,12
2270,14
2270,10749
2270,10751
377,27
6477,35
6477,10402
6477,10751
6477,14
6477,16
9342,28
9342,12
1272,878
1272,53
5176,37
5559,10751
5559,16
5559,12
5559,35
10315,12
10315,16
10315,35
10315,10751
11360,16
11360,10751
10483,28
10483,53
10483,878
96936,18
96936,80
212778,35
41513,16
41513,10751
41513,12
41513,35
41513,14
1427,80
1427,14
1427,18
2253,18
2253,53
2253,36
2253,10752
710,12
710,28
710,53
2698,14
2698,35
2698,10751
9870,35
9870,10749
9870,18
137094,28
137094,18
137094,53
44048,28
44048,53
271718,35
7443,16
7443,35
7443,10751
1495,18
1495,28
1495,12
1495,36
1495,10752
77016,80
77016,18
77016,53
115782,18
115782,36
249070,28
249070,80
249070,53
10545,18
10545,16
10545,10751
320,80
320,9648
320,53
8698,14
8698,28
8698,53
8698,878
10196,28
10196,12
10196,10751
10196,14
109418,35
9366,80
9366,18
9366,53
297,14
297,18
297,9648
1640,18
1948,28
1948,53
1948,80
23631,28
23631,35
23631,53
10189,28
10189,35
241554,28
241554,80
241554,18
241554,9648
241554,53
71676,28
71676,14
71676,53
426,9648
426,10749
426,53
335,37
8273,35
8273,10749
11886,16
11886,10751
3580,80
3580,18
3580,9648
285783,12
285783,18
285783,53
22954,18
22954,36
35056,35
62764,12
62764,14
62764,18
62764,35
62764,878
62764,10751
1265,12
1265,18
1265,10751
134,28
134,12
134,35
116711,16
116711,12
116711,10751
116711,14
9533,80
9533,53
9533,27
100042,35
7350,18
7350,35
36955,28
36955,53
17979,16
17979,18
116,18
116,53
116,80
116,10749
132363,18
33,37
321258,27
321258,9648
321258,53
2978,35
2978,14
2024,18
2024,36
2024,10752
2024,28
9273,80
9273,35
9273,12
160588,35
160588,18
492,14
492,18
492,35
840,878
840,18
238615,878
238615,9648
238615,53
97370,53
97370,878
97370,18
7518,35
7518,16
7518,10751
152584,10749
152584,18
20766,12
20766,18
36669,12
36669,28
36669,53
13387,28
13387,12
13387,53
13387,80
1992,27
1992,28
1992,53
279,18
279,36
279,10402
214,27
214,53
214,80
311,18
311,80
813,35
1585,18
1585,10751
1585,14
4147,53
4147,80
4147,18
431,53
431,878
431,9648
6947,18
6947,9648
6947,53
7980,14
7980,18
1903,18
1903,9648
1903,10749
1903,878
1903,53
261392,35
261392,28
303858,53
77950,16
77950,10751
588,27
588,9648
525,10402
525,35
525,28
525,80
9762,10402
9762,18
9762,10749
9762,80
39451,35
39451,10749
2667,27
2667,9648
2832,9648
2832,53
244267,878
