tmdb_id,imdb_id,title,original_title,overview,tagline,release_date,release_year,original_language,runtime,status,budget,revenue,popularity,vote_average,vote_count,adult
9354,tt0097523,"Honey, I Shrunk the Kids","Honey, I Shrunk the Kids",The scientist father of a teenage girl and boy accidentally shrinks his and two other neighborhood teens to the size of insects. Now the teens must fight diminutive dangers as the father searches for them.,"The most astonishing, innovative, backyard adventure of all time!",1989-06-22,1989,en,93.0,Released,32000000,222724172.0,12.358786,6.1,756.0,0
9598,tt0112431,Babe,Babe,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.",A little pig goes a long way.,1995-07-18,1995,en,89.0,Released,30000000,254134910.0,14.404764,6.0,756.0,0
18533,tt1172570,Bronson,Bronson,"A young man who was sentenced to 7 years in prison for robbing a post office ends up spending 30 years in solitary confinement. During this time, his own personality is supplanted by his alter ego, Charles Bronson.",The Man. The Myth. The Celebrity.,2008-10-09,2008,en,92.0,Released,230000,2260712.0,9.521043,6.9,756.0,0
23047,tt0479997,Season of the Witch,Season of the Witch,"A 14th century Crusader returns with his comrade to a homeland devastated by the Black Plague. The Church commands the two knights to transport a witch to a remote abbey, where monks will perform a ritual in hopes of ending the pestilence.",Not all souls can be saved.,2011-01-07,2011,en,95.0,Released,40000000,88100000.0,13.471159,5.2,756.0,0
10313,tt1234548,The Men Who Stare at Goats,The Men Who Stare at Goats,"A reporter in Iraq might just have the story of a lifetime when he meets Lyn Cassady, a guy who claims to be a former member of the U.S. Army's New Earth Army, a unit that employs paranormal powers in their missions.",No goats. No glory.,2009-10-17,2009,en,93.0,Released,24000000,68729358.0,6.253084,5.9,755.0,0
22804,tt1233227,Saw VI,Saw VI,"Special Agent Strahm is dead, and Detective Hoffman has emerged as the unchallenged successor to Jigsaw's legacy. However, when the FBI draws closer to Hoffman, he is forced to set a game into motion, and Jigsaw's grand scheme is finally understood.",The Game Has Come Full Circle,2009-10-22,2009,en,90.0,Released,11000000,68233629.0,17.360894,6.0,755.0,0
42188,tt1334260,Never Let Me Go,Never Let Me Go,"As children, Kathy, Ruth, and Tommy spend their childhood at an idyllic and secluded English boarding school. As they grow into adults, they must come to terms with the complexity and strength of their love for one another while also preparing for the haunting reality awaiting them.",These students have everything they need. Except time.,2010-09-15,2010,en,104.0,Released,15000000,9455232.0,8.278794,6.8,755.0,0
10999,tt0088944,Commando,Commando,"John Matrix, the former leader of a special commando strike force that always got the toughest jobs done, is forced back into action when his young daughter is kidnapped. To find her, Matrix has to fight his way through an array of punks, killers, one of his former commandos, and a fully equipped private army. With the help of a feisty stewardess and an old friend, Matrix has only a few hours to overcome his greatest challenge: finding his daughter before she's killed.",Somewhere... somehow... someone's going to pay.,1985-10-03,1985,en,90.0,Released,10000000,57500000.0,10.193652,6.4,753.0,0
49520,tt1488555,The Change-Up,The Change-Up,"Dave is a married man with two kids and a loving wife , and Mitch is a single man who is at the prime of his sexual life. One fateful night while Mitch and Dave are peeing in a fountain when lightning strikes, they switch bodies.",Who says men can't change?,2011-08-05,2011,en,112.0,Released,52000000,75450437.0,6.906145,5.9,753.0,0
8413,tt0119081,Event Horizon,Event Horizon,"In the year 2047 a group of astronauts are sent to investigate and salvage the long lost starship ""Event Horizon"". The ship disappeared mysteriously 7 years before on its maiden voyage and with its return comes even more mystery as the crew of the ""Lewis and Clark"" discover the real truth behind its disappearance and something even more terrifying.",Infinite Space - Infinite Terror,1997-08-15,1997,en,96.0,Released,60000000,26673242.0,11.335072,6.4,752.0,0
64689,tt1764234,Killing Them Softly,Killing Them Softly,"Jackie Cogan is an enforcer hired to restore order after three dumb guys rob a Mob protected card game, causing the local criminal economy to collapse.",In America you're on your own.,2012-09-20,2012,en,97.0,Released,15000000,37930465.0,6.777326,5.8,751.0,0
4234,tt0134084,Scream 3,Scream 3,"A murdering spree begins to happen again, this time its targeted toward the original Woodsboro survivors and those associated with the movie inside a movie, 'Stab 3'. Sydney must face the demons of her past to stop the killer.",Someone has taken their love of trilogies one step too far.,2000-02-03,2000,en,116.0,Released,40000000,161834276.0,9.738371,5.7,749.0,0
